id;data_acesso;ip_acesso;nome_dispositivo
1;2024-03-11T14:06:34;glittering smuggle;provided unto
2;2024-03-11T11:21:54;badly codepage er;major
3;2024-03-11T12:51:34;vice healthy supervise;live funny till
4;2024-03-11T11:24:38;aw furthermore;mitten mmm
5;2024-03-10T18:47:23;bitterly round;nor runny
6;2024-03-10T23:20:25;globalize;redesign
7;2024-03-10T20:23:29;frantically;ick
8;2024-03-11T02:14:40;whoa;furthermore meanwhile
9;2024-03-10T16:20:08;maple scanner;indolent yuck barring
10;2024-03-11T05:45:21;landmine ick aboard;rosemary
