id;jhi_group;nome;descricao;home_url;logo_url
1;geez;pro uh-huh;oh blissfully;towards a;kosher whether
2;yowza ecclesia;with hourly;during next misfile;onto classify;poverty
3;whenever amid devalue;self-reliant dim;onto pfftX;bowl if which;incredible fooey if
4;beautifully purchase;toward instead vastly;softXXXXXX;setback;vaccinate actually around
5;profitable expostulate;underwriting joshingly;extra-small;planning hunt;custody hyphenation
6;boogeyman;presage subtle route;overviewXX;molt;colonial
7;who;unto idle;impeccable majestically and;um bowed if;but modulo
8;phew;extremely;past knowing frightfully;whose huzzah;questionable empowerment keenly
9;phew tremendously whenever;rotten coin;times shaft;considering;aha woot contest
10;kissingly pastel;carefully;whoa tedious;minute;communion
